NOME_UF,NOME_MUNICIPIO,ESFERA_GOV_ESCOLA,LOCALIZACAO_ESCOLA,INEP_ESCOLA,NOME_ESCOLA,QUANT_ALUNADO,VALOR_RECEBIDO
RO,PORTO VELHO,ESTADUAL,Urbana,11000708,EEEFM CAP CLAUDIO MANOEL DA COSTA,60,R$4.120
RO,PORTO VELHO,MUNICIPAL,Rural,11000864,EMEF DEIGMAR MORAES DE SOUZA,200,R$54.840
RO,PORTO VELHO,ESTADUAL,Urbana,11001160,EEEF HEITOR VILLA LOBOS,60,R$8.556
RO,PORTO VELHO,ESTADUAL,Urbana,11001496,EEEFM MARCOS DE BARROS FREIRE,532,R$18.492
RO,PORTO VELHO,ESTADUAL,Urbana,11002255,EEEFM SAO LUIZ,60,R$12.420
RO,PORTO VELHO,MUNICIPAL,Urbana,11002280,EMEF SAO PEDRO,100,R$47.088
RO,PORTO VELHO,MUNICIPAL,Urbana,11002883,EMEIEF PINGO DE GENTE,267,R$30.915
RO,PORTO VELHO,MUNICIPAL,Rural,11003308,EMEF MARECHAL RONDON,138,R$16.380
RO,PORTO VELHO,MUNICIPAL,Rural,11003693,EMEF CORA CORALINA,100,R$3.242
RO,ITAPUA DO OESTE,MUNICIPAL,Urbana,11005165,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL DOUTOR CUSTODIO,100,R$18.780
RO,SAO FRANCISCO DO GUAPORE,MUNICIPAL,Rural,11005742,EPMEFM PEREIRA E CACERES,60,R$4.055
RO,PORTO VELHO,ESTADUAL,Urbana,11006617,EEEFM IRMA MARIA CELESTE,25,R$843
RO,ARIQUEMES,MUNICIPAL,Rural,11007443,EMEIEF MAFALDA RODRIGUES,40,R$28.275
RO,ARIQUEMES,MUNICIPAL,Urbana,11007737,EMEIEF ROBERTO TURBAY,448,R$146.088
RO,ALTO PARAISO,MUNICIPAL,Rural,11009918,EMEF MAURICIO DE NASSAU,50,R$2.454
RO,ALTO PARAISO,MUNICIPAL,Rural,11010126,EMEF UNIAO DO ALTO ALEGRE,50,R$2.454
RO,CAMPO NOVO DE RONDONIA,MUNICIPAL,Rural,11037172,EMEF 07 DE SETEMBRO,25,R$813
RO,PORTO VELHO,MUNICIPAL,Rural,11037652,EMEF NOSSA SENHORA DE NAZARE,200,R$32.904
RO,CAMPO NOVO DE RONDONIA,MUNICIPAL,Rural,11039779,EMEF RIO BRANCO,45,R$4.065
RO,SAO MIGUEL DO GUAPORE,MUNICIPAL,Urbana,11042508,EMEF LAZARA ALVES DE LIMA,200,R$22.536
RO,PORTO VELHO,ESTADUAL,Urbana,11046953,EEEFM ALBINO BUTTNER,80,R$3.312
RO,PORTO VELHO,MUNICIPAL,Urbana,11048280,E ME F FLAMBOYANT,100,R$7.482
RO,CUJUBIM,MUNICIPAL,Urbana,11053402,EMEF ALUISIO BECKER,100,R$18.765
AC,RIO BRANCO,ESTADUAL,Urbana,12000167,ESC ABSOLON MOREIRA,50,R$2.805
AC,RIO BRANCO,ESTADUAL,Rural,12000370,ESC CORA CORALINA,50,R$10.534
AC,CRUZEIRO DO SUL,MUNICIPAL,Urbana,12001597,ESC THAUMATURGO DE AZEVEDO,100,R$42.660
AC,RIO BRANCO,ESTADUAL,Rural,12001627,ESC VISCONDE DO RIO BRANCO,50,R$1.631
AC,MANCIO LIMA,MUNICIPAL,Urbana,12001953,ESCOLA ARTUR LEBRE,80,R$3.312
AC,MARECHAL THAUMATURGO,MUNICIPAL,Rural,12002828,ESC MARNIZIA CRUZ,158,R$14.499
AC,MARECHAL THAUMATURGO,MUNICIPAL,Rural,12002887,ESC PRAXEDES BRANDAO,104,R$18.999
AC,MARECHAL THAUMATURGO,MUNICIPAL,Rural,12002950,ESC ZILDA VASCONCELOS,216,R$36.936
